poiID,poiName,poiTheme,poiLat,poiLon,poiURL,poiPopularity
53,Docklands Stadium (Etihad Stadium),Sports stadiums,-37.816390000000006,144.9475,https://en.wikipedia.org/wiki/Docklands_Stadium,36
54,Flemington Racecourse,Sports stadiums,-37.790279999999996,144.9125,https://en.wikipedia.org/wiki/Flemington_Racecourse,0
55,Margaret Court Arena,Sports stadiums,-37.821112,144.97741000000002,https://en.wikipedia.org/wiki/Margaret_Court_Arena,25
56,Melbourne Multi Purpose Venue (Hisense Arena),Sports stadiums,-37.82278,144.98167,https://en.wikipedia.org/wiki/Melbourne_Park_Multi-Purpose_Venue,25
57,Melbourne Cricket Ground (MCG),Sports stadiums,-37.82,144.98333,https://en.wikipedia.org/wiki/Melbourne_Cricket_Ground,75
58,Melbourne Grand Prix Circuit,Sports stadiums,-37.84972,144.96833,https://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,12
59,Melbourne Sports and Aquatic Centre (MSAC),Sports stadiums,-37.84667,144.96611000000001,https://en.wikipedia.org/wiki/Melbourne_Sports_and_Aquatic_Centre,12
60,Lakeside Stadium,Sports stadiums,-37.84028,144.965,https://en.wikipedia.org/wiki/Lakeside_Stadium,6
61,National Ice Sports Centre (O'Brien Group Arena),Sports stadiums,-37.8123777,144.93556740000002,https://en.wikipedia.org/wiki/Medibank_Icehouse,7
62,Olympic Park Stadium,Sports stadiums,-37.82472,144.98111,https://en.wikipedia.org/wiki/Olympic_Park_Stadium,9
63,Rod Laver Arena,Sports stadiums,-37.821670000000005,144.97833,https://en.wikipedia.org/wiki/Rod_Laver_Arena,51
64,Royal Melbourne Golf Club,Sports stadiums,-37.97,145.03,https://en.wikipedia.org/wiki/Royal_Melbourne_Golf_Club,0
65,Princes Park (Ikon Park),Sports stadiums,-37.78389,144.96167,https://en.wikipedia.org/wiki/Princes_Park_(stadium),5
66,Albert Park and Lake,Parks and spaces,-37.846,144.97,https://en.wikipedia.org/wiki/Albert_Park_and_Lake,12
67,Alexandra Gardens,Parks and spaces,-37.820370000000004,144.971938,"https://en.wikipedia.org/wiki/Alexandra_Gardens,_Melbourne",36
68,Birrarung Marr,Parks and spaces,-37.818329999999996,144.9725,"https://en.wikipedia.org/wiki/Birrarung_Marr,_Melbourne",81
69,Carlton Gardens,Parks and spaces,-37.80611,144.97028,https://en.wikipedia.org/wiki/Carlton_Gardens,33
70,City Square,Parks and spaces,-37.816,144.967,"https://en.wikipedia.org/wiki/City_Square,_Melbourne",84
71,Federation Square,Parks and spaces,-37.817797999999996,144.96871399999998,https://en.wikipedia.org/wiki/Federation_Square,290
72,Fitzroy Gardens,Parks and spaces,-37.8125641,144.9803925,https://en.wikipedia.org/wiki/Fitzroy_Gardens,22
73,Flagstaff Gardens,Parks and spaces,-37.8105,144.9544,https://en.wikipedia.org/wiki/Flagstaff_Gardens,20
74,Kings Domain,Parks and spaces,-37.8282598,144.97758149999999,"https://en.wikipedia.org/wiki/Kings_Domain,_Melbourne",12
75,Queen Victoria Gardens,Parks and spaces,-37.8218,144.9716,"https://en.wikipedia.org/wiki/Queen_Victoria_Gardens,_Melbourne",24
76,Royal Botanic Gardens,Parks and spaces,-37.8334,144.98033,"https://en.wikipedia.org/wiki/Royal_Botanic_Gardens,_Melbourne",22
77,Royal Park,Parks and spaces,-37.790183299999995,144.9511667,"https://en.wikipedia.org/wiki/Royal_Park,_Melbourne",3
78,Treasury Gardens,Parks and spaces,-37.814158,144.976194,https://en.wikipedia.org/wiki/Treasury_Gardens,26
79,Yarra Park,Parks and spaces,-37.818043700000004,144.9852312,https://en.wikipedia.org/wiki/Yarra_Park,8
80,Bolte Bridge,Transport,-37.8194778,144.932125,https://en.wikipedia.org/wiki/Bolte_Bridge,15
81,Capital City Trail,Transport,-37.819744,144.968516,https://en.wikipedia.org/wiki/Capital_City_Trail,133
82,Flinders Street station,Transport,-37.818078,144.96681,https://en.wikipedia.org/wiki/Flinders_Street_railway_station,180
83,Melbourne Airport,Transport,-37.67333,144.84333,https://en.wikipedia.org/wiki/Melbourne_Airport,1
84,Melbourne Central station,Transport,-37.81,144.96278,https://en.wikipedia.org/wiki/Melbourne_Central_railway_station,110
85,Southern Cross station,Transport,-37.8184,144.9524,https://en.wikipedia.org/wiki/Southern_Cross_railway_station,91
86,West Gate Bridge,Transport,-37.829440000000005,144.89806000000002,https://en.wikipedia.org/wiki/West_Gate_Bridge,13
87,Yarra River,Transport,-37.85194,144.90833,https://en.wikipedia.org/wiki/Yarra_River,0
